carbon_percent,chromium_percent,manganese_percent,silicon_percent,nickel_percent,cobalt_percent,molybdenum_percent,tungsten_percent,niobium_percent,aluminium_percent,phosphorous_percent,copper_percent,titanium_percent,tantalum_percent,hafnium_percent,rhenium_percent,vanadium_percent,boron_percent,nitrogen_percent,oxygen_percent,sulphur_percent,yield_strength,uts,elongation,reduction_area
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,847.64,1010.5,24.1,60.7
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,836,993,26,66
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,801,942,23,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,800,941,23,63
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,785,914,20,65
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,769,887,19,64
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,768,890,19.01,61
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,759,872,22,68
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,758,872,18.695,59
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,744,849,18,60
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,743,849,18.019,62
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,731,835,18,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,730,831,18.218,65
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,708,803,17,61
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,712,809,18.097,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,680,776,23,69
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,686,776,20.684,63
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,642,720,25,76
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,635,717,21.162,67
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,567,642,37,84
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,568,643,26.094,71
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,493.65,569.2,31.8,81.4
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,474,547,39,77
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,396.44,467.9,36.7,83.1
0.15,9.83,0.41,0.09,0.27,1.48,1.26,0.482,0.056,0.016,0.001,0.003,0,0.279,0,0,0.209,0.01,0.02,0.0036,0.005,390,452,39,85
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,830,986,24,61
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,794,924,17.0418,55
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,763,877,20,65
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,754,859,17.92605,65
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,681,778,21,66
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,635,727,20.09646,71
0.15,9.81,0.29,0.15,0.22,1.53,1.46,0.428,0.059,0.005,0.003,0.003,0,0.202,0,0,0.204,0.0078,0.0252,0.0029,0.0058,477,554,27.09003,78
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,842.29,998.3,19.7,62.5
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,775,899,16.55949,60
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,743,851,19,63
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,740,832,15.65,63
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,718,811,15.93,55
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,690,783,17.0418,60
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,633,716,27,72
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,568,649,24.39711,74
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,479,550,26.48,79
0.16,9.95,0.47,0.11,0.22,1.59,1.34,0.493,0.061,0.009,0.003,0.003,0,0.198,0,0,0.194,0.0086,0.0222,0.0034,0.0055,385,447,42,89
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,810,948,18.12701,61
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,784,915,21,61
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,762,876,17.48392,66
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,734,829,17,62
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,720,816,16.07717,61
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,554,638,33,69
0.16,10.12,0.43,0.1,0.22,1.56,1.31,0.526,0.054,0.01,0.001,0.003,0,0.244,0,0,0.212,0.0083,0.0245,0.0036,0.0058,389,459,28.37621,84
0.15,9.99,0.42,0.12,0.21,1.51,1.33,0.53,0.049,0.014,0.001,0.003,0,0.28,0,0,0.199,0.0087,0.0221,0.0032,0.0058,764,885,21,67
0.15,9.99,0.42,0.12,0.21,1.51,1.33,0.53,0.049,0.014,0.001,0.003,0,0.28,0,0,0.199,0.0087,0.0221,0.0032,0.0058,699,806,18,59
0.15,9.99,0.42,0.12,0.21,1.51,1.33,0.53,0.049,0.014,0.001,0.003,0,0.28,0,0,0.199,0.0087,0.0221,0.0032,0.0058,466,542,39,83
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,851,1006,23,64
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,797,927,20,67
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,769,881,19,60
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,741,838,17,57
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,691,782,22,66
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,567,646,27,73
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,472,552,39,84
0.15,10.03,0.43,0.11,0.21,1.59,1.37,0.508,0.058,0.005,0.003,0.031,0,0.155,0,0,0.219,0.0087,0.0278,0.0064,0.0059,397,463,48,87
0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,0,0.269,0,0.115,0.202,0.0102,0.0238,0.0032,0.0058,842,994,22,57
0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,0,0.269,0,0.115,0.202,0.0102,0.0238,0.0032,0.0058,769,891,19,58
0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,0,0.269,0,0.115,0.202,0.0102,0.0238,0.0032,0.0058,746,847,17,61
0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,0,0.269,0,0.115,0.202,0.0102,0.0238,0.0032,0.0058,709,809,18,54
0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,0,0.269,0,0.115,0.202,0.0102,0.0238,0.0032,0.0058,632,717,21,69
0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,0,0.269,0,0.115,0.202,0.0102,0.0238,0.0032,0.0058,473,555,37,79
0.15,9.88,0.41,0.08,0.27,1.47,1.27,0.472,0.056,0.019,0.001,0.006,0,0.269,0,0.115,0.202,0.0102,0.0238,0.0032,0.0058,393,458,38,83
0.15,10.64,0.42,0.1,0.28,2.93,0.5,0.513,0.056,0.013,0.001,0.033,0,0.266,0,0,0.205,0.0089,0.0341,0.005,0.006,872,1035,24,60
0.15,10.64,0.42,0.1,0.28,2.93,0.5,0.513,0.056,0.013,0.001,0.033,0,0.266,0,0,0.205,0.0089,0.0341,0.005,0.006,477,555,37,79
0.15,10.64,0.42,0.1,0.28,2.93,0.5,0.513,0.056,0.013,0.001,0.033,0,0.266,0,0,0.205,0.0089,0.0341,0.005,0.006,408,474,34,81
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,769,942,22,56
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,753,887,18.2,54
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,740,860,17.3,57
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,723.95,841.16,17,61
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,717,825,17.7,60
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,703.27,799.79,16,59
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,690,783,14.9,55
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,655,751.53,16,60
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,635,715,18.1,60
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,582.61,655,15,62
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,527.45,596.4,24,76
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,435,499,36,80
0.14,10.63,0.4,0.08,0.27,2.94,0.51,0.517,0.055,0.012,0.001,0.031,0,0.003,0,0,0.203,0.0087,0.02,0.0075,0.0064,350,419,38,85
0.15,10.18,0.41,0.1,0.23,1.59,1.35,0.596,0.051,0.005,0.002,0.042,0,0.005,0.16,0,0.213,0.0097,0.0215,0.0047,0.0059,759,918,22,55
0.15,10.18,0.41,0.1,0.23,1.59,1.35,0.596,0.051,0.005,0.002,0.042,0,0.005,0.16,0,0.213,0.0097,0.0215,0.0047,0.0059,436,499,38,84
0.15,10.18,0.41,0.1,0.23,1.59,1.35,0.596,0.051,0.005,0.002,0.042,0,0.005,0.16,0,0.213,0.0097,0.0215,0.0047,0.0059,338,413,43,89
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,857,1022,21,55
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,836,977,17.7,58
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,814,947,17.1,53
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,792.9,923.9,16,57
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,782,900,16.1,59
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,758.42,868.74,15,60
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,748,850,14.8,53
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,745.93,850.3,15,52.1
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,710.16,827.37,15,58
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,697,785,18.1,55
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,694.53,786.2,19.6,57.9
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,637.77,723.95,19,67
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,568.82,644.66,23,74
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,552.48,633.4,26.1,70.1
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,471,542,36,79
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,378,452,37,79
0.15,10.62,0.42,0.1,0.23,4.67,0.54,0.479,0.054,0.005,0.002,0.043,0,0.177,0,0,0.19,0.0097,0.0296,0.0028,0.0067,389.23,456.2,31,79.2
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,874,1042,21,55
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,846,993,18.7,54
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,819,961,15.9,55
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,806.69,944.58,16,57
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,800,919,15.4,54
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,772.21,889.42,15,56
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,776.59,888.5,15.7,54.6
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,763,870,14.7,53
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,736.9,841.3,16.3,49.3
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,730.84,841.16,16,58
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,710,801,18.6,59
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,648.11,737.74,20,69
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,651.39,731.8,23.6,63.2
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,572.27,658.45,24,74
